Window size: 10
Threshold Mean: 0.001
Threshold Covariance: 0.0001
TestGenerator object created
Table means exists.
Flushing table means...
Table means flushed
Table covariances exists.
Flushing table covariances...
Table covariances flushed
| Window | Mean Anomalies | Covariance Anomalies |
|--------|----------------|-----------------------|
| 5041	 | 		668		 | 			165 		|
| 5051	 | 		714		 | 			75 		|
| 5061	 | 		650		 | 			64 		|
| 5071	 | 		780		 | 			48 		|
| 5081	 | 		707		 | 			65 		|
| 5091	 | 		700		 | 			149 		|
| 5101	 | 		933		 | 			236 		|
| 5111	 | 		877		 | 			531 		|
| 5121	 | 		923		 | 			836 		|
| 5131	 | 		948		 | 			874 		|
| 5141	 | 		862		 | 			788 		|
| 5151	 | 		910		 | 			706 		|
| 5161	 | 		862		 | 			634 		|
| 5171	 | 		885		 | 			493 		|
| 5181	 | 		992		 | 			536 		|
| 5191	 | 		757		 | 			521 		|
| 5201	 | 		956		 | 			492 		|
| 5211	 | 		863		 | 			334 		|
| 5221	 | 		799		 | 			310 		|
| 5231	 | 		830		 | 			203 		|
| 5241	 | 		821		 | 			253 		|
| 5251	 | 		804		 | 			335 		|
| 5261	 | 		929		 | 			273 		|
| 5271	 | 		856		 | 			263 		|
| 5281	 | 		824		 | 			412 		|
| 5291	 | 		853		 | 			476 		|
| 5301	 | 		856		 | 			325 		|
| 5311	 | 		914		 | 			272 		|
| 5321	 | 		868		 | 			227 		|
| 5331	 | 		907		 | 			262 		|
| 5341	 | 		849		 | 			395 		|
| 5351	 | 		844		 | 			361 		|
| 5361	 | 		813		 | 			370 		|
| 5371	 | 		902		 | 			318 		|
| 5381	 | 		800		 | 			334 		|
| 5391	 | 		739		 | 			236 		|
| 5401	 | 		770		 | 			212 		|
| 5411	 | 		729		 | 			324 		|
| 5421	 | 		717		 | 			209 		|
| 5431	 | 		832		 | 			142 		|
| 5441	 | 		801		 | 			154 		|
| 5451	 | 		806		 | 			142 		|
| 5461	 | 		811		 | 			206 		|
| 5471	 | 		820		 | 			198 		|
| 5481	 | 		768		 | 			205 		|
| 5491	 | 		727		 | 			191 		|
| 5501	 | 		822		 | 			155 		|
| 5511	 | 		847		 | 			190 		|
| 5521	 | 		935		 | 			199 		|
| 5531	 | 		853		 | 			251 		|
| 5541	 | 		949		 | 			270 		|
| 5551	 | 		776		 | 			286 		|
| 5561	 | 		822		 | 			316 		|
| 5571	 | 		829		 | 			287 		|
| 5581	 | 		922		 | 			362 		|
| 5591	 | 		843		 | 			327 		|
| 5601	 | 		859		 | 			401 		|
| 5611	 | 		863		 | 			492 		|
| 5621	 | 		955		 | 			452 		|
| 5631	 | 		827		 | 			465 		|
| 5641	 | 		886		 | 			251 		|
| 5651	 | 		901		 | 			393 		|
| 5661	 | 		920		 | 			545 		|
| 5671	 | 		922		 | 			498 		|
| 5681	 | 		983		 | 			669 		|
| 5691	 | 		980		 | 			680 		|
| 5701	 | 		795		 | 			465 		|
| 5711	 | 		872		 | 			290 		|
| 5721	 | 		826		 | 			401 		|
| 5731	 | 		922		 | 			294 		|
| 5741	 | 		769		 | 			306 		|
| 5751	 | 		937		 | 			286 		|
| 5761	 | 		935		 | 			418 		|
| 5771	 | 		898		 | 			571 		|
| 5781	 | 		952		 | 			486 		|
| 5791	 | 		908		 | 			592 		|
| 5801	 | 		748		 | 			362 		|
| 5811	 | 		985		 | 			217 		|
| 5821	 | 		976		 | 			231 		|
| 5831	 | 		902		 | 			242 		|
| 5841	 | 		860		 | 			289 		|
| 5851	 | 		874		 | 			324 		|
| 5861	 | 		865		 | 			244 		|
| 5871	 | 		860		 | 			290 		|
| 5881	 | 		787		 | 			426 		|
| 5891	 | 		773		 | 			259 		|
| 5901	 | 		810		 | 			215 		|
| 5911	 | 		818		 | 			321 		|
| 5921	 | 		834		 | 			324 		|
| 5931	 | 		946		 | 			369 		|
| 5941	 | 		838		 | 			191 		|
| 5951	 | 		758		 | 			201 		|
| 5961	 | 		826		 | 			179 		|
|--------|----------------|-----------------------|
